央视,#genre#
CCTV1,http://220.181.91.187/liveplay-kk.rtxapp.com/live/program/live/cctv1hd/4000000/mnf.m3u8
CCTV1,http://39.135.49.209:6610/PLTV/88888888/224/3221225829/1.m3u8?servicetype=1
CCTV1,http://39.134.66.48/PLTV/88888888/224/3221225816/index.m3u8
CCTV1,http://39.134.66.110/PLTV/88888888/224/3221225816/index.m3u8
CCTV1,http://iptv.tvfix.org/hls/cctv1hd.m3u8
CCTV2,http://39.135.49.209:6610/PLTV/88888888/224/3221225800/1.m3u8?servicetype=1
CCTV2,http://39.135.138.60:18890/PLTV/88888910/224/3221225643/index.m3u8
CCTV2,http://iptv.tvfix.org/hls/cctv2hd.m3u8
CCTV3,http://220.181.91.187/liveplay-kk.rtxapp.com/live/program/live/cctv3hd/4000000/mnf.m3u8
CCTV3,http://39.134.66.46/PLTV/88888888/224/3221225799/index.m3u8
CCTV3,http://39.134.66.110/PLTV/88888888/224/3221225799/index.m3u8
CCTV3,http://iptv.tvfix.org/hls/cctv3hd.m3u8
CCTV4,http://39.134.115.163:8080/PLTV/88888910/224/3221225621/index.m3u8
CCTV4,http://iptv.tvfix.org/hls/cctv4hd.m3u8
CCTV5,http://220.181.91.187/liveplay-kk.rtxapp.com/live/program/live/cctv5hd/4000000/mnf.m3u8
CCTV5,http://39.134.66.110/PLTV/88888888/224/3221225818/index.m3u8
CCTV5,http://iptv.tvfix.org/hls/cctv5hd.m3u8
CCTV5+,http://220.181.91.187/liveplay-kk.rtxapp.com/live/program/live/cctv5phd/4000000/mnf.m3u8
CCTV5+,http://111.20.33.93/TVOD/88888893/224/3221226221/index.m3u8
CCTV5+,http://iptv.tvfix.org/hls/cctv5phd.m3u8
CCTV6,http://220.181.91.187/liveplay-kk.rtxapp.com/live/program/live/cctv6hd/4000000/mnf.m3u8
CCTV6,http://39.134.66.110/PLTV/88888888/224/3221225814/index.m3u8
CCTV6,http://iptv.tvfix.org/hls/cctv6hd.m3u8
CCTV7,http://39.134.66.110/PLTV/88888888/224/3221225671/index.m3u8
CCTV7,http://iptv.tvfix.org/hls/cctv7hd.m3u8
CCTV8,http://220.181.91.187/liveplay-kk.rtxapp.com/live/program/live/cctv8hd/4000000/mnf.m3u8
CCTV8,http://39.134.66.110/PLTV/88888888/224/3221225795/index.m3u8
CCTV8,http://iptv.tvfix.org/hls/cctv8hd.m3u8
CCTV9,http://39.134.66.110/PLTV/88888888/224/3221225676/index.m3u8
CCTV9,http://iptv.tvfix.org/hls/cctv9hd.m3u8
CCTV10,http://220.181.91.187/liveplay-kk.rtxapp.com/live/program/live/cctv10hd/4000000/mnf.m3u8
CCTV10,http://39.134.66.110/PLTV/88888888/224/3221225677/index.m3u8
CCTV10,http://iptv.tvfix.org/hls/cctv10hd.m3u8
CCTV11,http://39.134.65.179/PLTV/88888888/224/3221225517/1.m3u8
CCTV11,http://iptv.tvfix.org/hls/cctv11hd.m3u8
CCTV12,http://39.134.66.110/PLTV/88888888/224/3221225669/index.m3u8
CCTV12,http://iptv.tvfix.org/hls/cctv12hd.m3u8
CCTV13,http://39.134.115.163:8080/PLTV/88888910/224/3221225638/index.m3u8
CCTV13,http://iptv.tvfix.org/hls/cctv13hd.m3u8
CCTV14,http://220.181.91.187/liveplay-kk.rtxapp.com/live/program/live/cctvsehd/4000000/mnf.m3u8
CCTV14,http://39.134.66.66/PLTV/88888888/224/3221225674/index.m3u8
CCTV14,http://iptv.tvfix.org/hls/cctv14hd.m3u8
CCTV15,http://iptv.tvfix.org/hls/cctv15hd.m3u8
CCTV16,http://liveop.cctv.cn/hls/CCTV16HD/playlist.m3u8
CCTV16,http://iptv.tvfix.org/hls/cctv16hd.m3u8
CCTV17,http://39.134.66.46/PLTV/88888888/224/3221225708/index.m3u8
CCTV17,http://iptv.tvfix.org/hls/cctv17hd.m3u8
CGTN,http://iptv.tvfix.org/hls/cgtnhd.m3u8
CGTN记录,http://iptv.tvfix.org/hls/cgtndochd.m3u8
CCTV-4K,http://iptv.tvfix.org/hls/cctv4k.m3u8
纯享4K,http://39.135.32.5:6610/PLTV/77777777/224/3221225726/index.m3u8?servicetype=1&IASHttpSessionId=OTT
纯享4K,http://39.135.138.60:18890/PLTV/88888888/224/3221225786/index.m3u8
纯享4K,http://39.135.47.101:6610/000000001000/HD-20M-2160P-chunxiang4k/1.m3u8?IASHttpSessionId=OTT
纯享4K,http://39.135.138.58:18890/ysten-businessmobile/live/HD-20M-2160P-chunxiang4k/1.m3u8

卫视,#genre#
北京卫视,http://220.181.91.187/liveplay-kk.rtxapp.com/live/program/live/bjwshd/4000000/mnf.m3u8
北京卫视,http://111.20.33.93/TVOD/88888893/224/3221226222/index.m3u8
北京卫视,http://iptv.tvfix.org/hls/brtv1hd.m3u8
北京卡酷少儿,http://iptv.tvfix.org/hls/brtv10hd.m3u8
东方卫视,http://220.181.91.187/liveplay-kk.rtxapp.com/live/program/live/hddfws/4000000/mnf.m3u8
东方卫视,http://111.20.33.93/TVOD/88888893/224/3221226217/index.m3u8
东方卫视,http://39.134.66.66/PLTV/88888888/224/3221225672/index.m3u8
东方卫视,http://iptv.tvfix.org/hls/dfhd.m3u8
天津卫视,http://111.20.33.93/TVOD/88888893/224/3221226204/index.m3u8
天津卫视,http://39.134.66.66/PLTV/88888888/224/3221225665/index.m3u8
天津卫视,http://iptv.tvfix.org/hls/tjhd.m3u8
安徽卫视,http://111.20.33.93/TVOD/88888893/224/3221226196/index.m3u8
安徽卫视,http://iptv.tvfix.org/hls/ahhd.m3u8
江苏卫视,http://220.181.91.187/liveplay-kk.rtxapp.com/live/program/live/jswshd/4000000/mnf.m3u8
江苏卫视,http://111.20.33.93/TVOD/88888893/224/3221226200/index.m3u8
江苏卫视,http://39.134.66.66/PLTV/88888888/224/3221225503/index.m3u8
江苏卫视,http://iptv.tvfix.org/hls/jshd.m3u8
江苏优漫卡通,http://39.134.66.66/PLTV/88888888/224/3221225556/index.m3u8
浙江卫视,http://220.181.91.187/liveplay-kk.rtxapp.com/live/program/live/zjwshd/4000000/mnf.m3u8
浙江卫视,http://111.20.33.93/TVOD/88888893/224/3221226199/index.m3u8
浙江卫视,http://hw-m-l.cztv.com/channels/lantian/channel01/1080p.m3u8
浙江卫视,http://39.134.66.66/PLTV/88888888/224/3221225514/index.m3u8
浙江卫视,http://iptv.tvfix.org/hls/zjhd.m3u8
上视全纪实,http://220.181.91.187/liveplay-kk.rtxapp.com/live/program/live/qjshd/4000000/mnf.m3u8
上视全纪实,http://iptv.tvfix.org/hls/qjshd.m3u8
上视哈哈炫动,http://220.181.91.187/liveplay-kk.rtxapp.com/live/program/live/hhxdhd/4000000/mnf.m3u8
上视哈哈炫动,http://iptv.tvfix.org/hls/hhxdhd.m3u8
上视纪实人文,http://220.181.91.187/liveplay-kk.rtxapp.com/live/program/live/jspdhd/4000000/mnf.m3u8
上视纪实人文,http://iptv.tvfix.org/hls/docuchina.m3u8
上视都市频道,http://220.181.91.187/liveplay-kk.rtxapp.com/live/program/live/ylpdhd/4000000/mnf.m3u8
上视都市频道,http://iptv.tvfix.org/hls/shdspdhd.m3u8
上视魅力足球,http://220.181.91.187/liveplay-kk.rtxapp.com/live/program/live/mlyyhd/4000000/mnf.m3u8
上视魅力足球,http://iptv.tvfix.org/hls/mlzqhd.m3u8
上视ICS,http://220.181.91.187/liveplay-kk.rtxapp.com/live/program/live/wypdhd/4000000/mnf.m3u8
上视东方影视,http://220.181.91.187/liveplay-kk.rtxapp.com/live/program/live/dsjpdhd/4000000/mnf.m3u8
上视东方影视,http://iptv.tvfix.org/hls/shdfyshd.m3u8
上视新闻综合,http://220.181.91.187/liveplay-kk.rtxapp.com/live/program/live/xwzhhd/4000000/mnf.m3u8
上视新闻综合,http://iptv.tvfix.org/hls/shxwzhhd.m3u8
上视第一财经,http://220.181.91.187/liveplay-kk.rtxapp.com/live/program/live/dycjhd/4000000/mnf.m3u8
上视五星体育,http://220.181.91.187/liveplay-kk.rtxapp.com/live/program/live/ssty/4000000/mnf.m3u8
上视五星体育,http://iptv.tvfix.org/hls/wxtyhd.m3u8
上视欢笑剧场,http://220.181.91.187/liveplay-kk.rtxapp.com/live/program/live/hxjchd/4000000/mnf.m3u8
上视都市剧场,http://220.181.91.187/liveplay-kk.rtxapp.com/live/program/live/dsjchd/4000000/mnf.m3u8
上视幸福彩,http://220.181.91.187/liveplay-kk.rtxapp.com/live/program/live/xfchd/4000000/mnf.m3u8
上视MAX极速汽车,http://220.181.91.187/liveplay-kk.rtxapp.com/live/program/live/jsqchd/4000000/mnf.m3u8
上视MAX极速汽车,http://iptv.tvfix.org/hls/jsqchd.m3u8
上视劲爆体育,http://220.181.91.187/liveplay-kk.rtxapp.com/live/program/live/jbtyhd/4000000/mnf.m3u8
上视劲爆体育,http://iptv.tvfix.org/hls/jbtyhd.m3u8
上视新视觉体育,http://220.181.91.187/liveplay-kk.rtxapp.com/live/program/live/xsjhd/4000000/mnf.m3u8
上视新视觉体育,http://iptv.tvfix.org/hls/xsjhd.m3u8
上视游戏风云,http://220.181.91.187/liveplay-kk.rtxapp.com/live/program/live/yxfyhd/4000000/mnf.m3u8
上视游戏风云,http://iptv.tvfix.org/hls/yxfyhd.m3u8
上视生活时尚,http://220.181.91.187/liveplay-kk.rtxapp.com/live/program/live/shsshd/4000000/mnf.m3u8
上视动漫秀场,http://220.181.91.187/liveplay-kk.rtxapp.com/live/program/live/dmxchd/4000000/mnf.m3u8
